"Id","SourceLinkResult","CompilerFlagsResult","SourceUrlRepoInfo","LowerId","Created","TotalDownloads","LowerId1","Owners","LowerId2","Identity","Id1","Version","CatalogCommitTimestamp","ResultType","DeterministicResult","IsSignedByAuthor","LowerId3","Identity1","Id2","Version1","CatalogCommitTimestamp1","Created1","ResultType1","Path","Extension","HasCompilerFlags","HasSourceLink","HasDebugInfo","CompilerFlags","PdbType"
"Humanizer.Core","Valid","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""Humanizr"",""Repo"":""Humanizer"",""Ref"":""3ebc38de585fc641a04b0e78ed69468453b0f8a1""},""FileCount"":199,""Example"":""https://raw.githubusercontent.com/Humanizr/Humanizer/3ebc38de585fc641a04b0e78ed69468453b0f8a1/src/Humanizer/ArticlePrefixSort.cs""}]","humanizer.core","2022-01-29T15:14:14.207Z","192001340","humanizer.core","[""dotnetfoundation"",""Humanizer""]","humanizer.core","humanizer.core/2.14.1","Humanizer.Core","2.14.1","2022-01-29T15:16:06.0737017Z","Available","Valid","true","humanizer.core","humanizer.core/2.14.1","Humanizer.Core","2.14.1","2022-01-29T15:16:06.0737017Z","2022-01-29T15:14:14.207Z","Available","lib\net6.0\Humanizer.dll",".dll","true","true","true","{""compiler-version"":""4.0.1-1.21569.2+52021b4b3a9dcfd7b955102adb2901524a62a371"",""language"":""C#"",""optimization"":""release"",""runtime-version"":""6.0.1+3a25a7f1cc446b60678ed25c9d829420d6321eba"",""language-version"":""preview"",""define"":""TRACE,RELEASE,NET,NET6_0,NETCOREAPP,NET5_0_OR_GREATER,NET6_0_OR_GREATER,NETCOREAPP1_0_OR_GREATER,NETCOREAPP1_1_OR_GREATER,NETCOREAPP2_0_OR_GREATER,NETCOREAPP2_1_OR_GREATER,NETCOREAPP2_2_OR_GREATER,NETCOREAPP3_0_OR_GREATER,NETCOREAPP3_1_OR_GREATER"",""version"":""2"",""source-file-count"":""202"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu""}","Embedded"
"Serilog.AspNetCore","NoSymbols","Missing","[]","serilog.aspnetcore","2023-02-03T19:47:23.383Z","188824450","serilog.aspnetcore","[""serilog""]","serilog.aspnetcore","serilog.aspnetcore/6.1.1-dev-00295","Serilog.AspNetCore","6.1.1-dev-00295","2023-02-03T19:49:54.6785308Z","Available","NonDeterministic","false","serilog.aspnetcore","serilog.aspnetcore/6.1.1-dev-00295","Serilog.AspNetCore","6.1.1-dev-00295","2023-02-03T19:49:54.6785308Z","2023-02-03T19:47:23.383Z","Available","lib\netstandard2.0\Serilog.AspNetCore.dll",".dll","false","false","false","{}","Portable"
"Serilog.Extensions.Hosting","NoSymbols","Missing","[]","serilog.extensions.hosting","2022-07-18T22:43:07.87Z","181350153","serilog.extensions.hosting","[""serilog""]","serilog.extensions.hosting","serilog.extensions.hosting/5.0.1","Serilog.Extensions.Hosting","5.0.1","2022-07-18T22:45:36.9296867Z","Available","NonDeterministic","false","serilog.extensions.hosting","serilog.extensions.hosting/5.0.1","Serilog.Extensions.Hosting","5.0.1","2022-07-18T22:45:36.9296867Z","2022-07-18T22:43:07.87Z","Available","lib\netstandard2.0\Serilog.Extensions.Hosting.dll",".dll","false","false","false","{}","Portable"
"Portable.BouncyCastle","Valid","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""novotnyllc"",""Repo"":""bc-csharp"",""Ref"":""0f827cc3e74a8f45669fba5c525adacd6b897503""},""FileCount"":1899,""Example"":""https://raw.githubusercontent.com/novotnyllc/bc-csharp/0f827cc3e74a8f45669fba5c525adacd6b897503/crypto/src/asn1/anssi/ANSSINamedCurves.cs""}]","portable.bouncycastle","2021-10-19T11:56:48.717Z","176958779","portable.bouncycastle","[""clairernovotny""]","portable.bouncycastle","portable.bouncycastle/1.9.0","Portable.BouncyCastle","1.9.0","2021-10-19T11:59:09.1268858Z","Available","Valid","true","portable.bouncycastle","portable.bouncycastle/1.9.0","Portable.BouncyCastle","1.9.0","2021-10-19T11:59:09.1268858Z","2021-10-19T11:56:48.717Z","Available","lib\net40\BouncyCastle.Crypto.dll",".dll","true","true","true","{""compiler-version"":""4.0.0-5.21501.19+8e1779e16298415843e85029d8b52a1ae9bb4c30"",""language"":""C#"",""optimization"":""release"",""runtime-version"":""6.0.0-rc.2.21480.5+6b11d64e7ef8f1685570f87859a3a3fe1c177d0f"",""language-version"":""7.3"",""define"":""TRACE,RELEASE,NETFRAMEWORK,NET40,NET20_OR_GREATER,NET30_OR_GREATER,NET35_OR_GREATER,NET40_OR_GREATER"",""version"":""2"",""source-file-count"":""1902"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu""}","Embedded"
"Serilog.Sinks.Debug","NoSymbols","Missing","[]","serilog.sinks.debug","2021-02-14T07:47:43.01Z","168910816","serilog.sinks.debug","[""serilog""]","serilog.sinks.debug","serilog.sinks.debug/2.0.0","Serilog.Sinks.Debug","2.0.0","2021-02-14T07:50:31.3029539Z","Available","NonDeterministic","false","serilog.sinks.debug","serilog.sinks.debug/2.0.0","Serilog.Sinks.Debug","2.0.0","2021-02-14T07:50:31.3029539Z","2021-02-14T07:47:43.01Z","Available","lib\net46\Serilog.Sinks.Debug.dll",".dll","false","false","false","{}","Portable"
"log4net","NoSymbols","Missing","[]","log4net","2022-08-04T05:52:25.873Z","161626590","log4net","[""Apache.Logging"",""cincura.net""]","log4net","log4net/2.0.15","log4net","2.0.15","2022-08-04T05:54:38.5922835Z","Available","NonDeterministic","false","log4net","log4net/2.0.15","log4net","2.0.15","2022-08-04T05:54:38.5922835Z","2022-08-04T05:52:25.873Z","Available","lib\net20\log4net.dll",".dll","false","false","false","{}","Portable"
"Serilog.Sinks.PeriodicBatching","NoSymbols","Missing","[]","serilog.sinks.periodicbatching","2022-09-27T08:13:35.487Z","153398060","serilog.sinks.periodicbatching","[""serilog""]","serilog.sinks.periodicbatching","serilog.sinks.periodicbatching/3.1.1-dev-00801","Serilog.Sinks.PeriodicBatching","3.1.1-dev-00801","2022-09-27T08:20:43.8719291Z","Available","NonDeterministic","false","serilog.sinks.periodicbatching","serilog.sinks.periodicbatching/3.1.1-dev-00801","Serilog.Sinks.PeriodicBatching","3.1.1-dev-00801","2022-09-27T08:20:43.8719291Z","2022-09-27T08:13:35.487Z","Available","lib\net45\Serilog.Sinks.PeriodicBatching.dll",".dll","false","false","false","{}","Portable"
"AutoMapper.Extensions.Microsoft.DependencyInjection","ValidExternal","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""AutoMapper"",""Repo"":""AutoMapper.Extensions.Microsoft.DependencyInjection"",""Ref"":""d02bde882fee7d58fceb7c2450500ca0e0f1b5fe""},""FileCount"":1,""Example"":""https://raw.githubusercontent.com/AutoMapper/AutoMapper.Extensions.Microsoft.DependencyInjection/d02bde882fee7d58fceb7c2450500ca0e0f1b5fe/src/AutoMapper.Extensions.Microsoft.DependencyInjection/ServiceCollectionExtensions.cs""}]","automapper.extensions.microsoft.dependencyinjection","2022-09-30T10:07:42.373Z","148527315","automapper.extensions.microsoft.dependencyinjection","[""jbogard""]","automapper.extensions.microsoft.dependencyinjection","automapper.extensions.microsoft.dependencyinjection/12.0.0","AutoMapper.Extensions.Microsoft.DependencyInjection","12.0.0","2022-09-30T10:10:30.333517Z","Available","Valid","false","automapper.extensions.microsoft.dependencyinjection","automapper.extensions.microsoft.dependencyinjection/12.0.0","AutoMapper.Extensions.Microsoft.DependencyInjection","12.0.0","2022-09-30T10:10:30.333517Z","2022-09-30T10:07:42.373Z","Available","lib\netstandard2.1\AutoMapper.Extensions.Microsoft.DependencyInjection.dll",".dll","true","true","true","{""compiler-version"":""4.3.0-3.22415.1+8301d4840fa1a3e822c2cb17fdf7056fa6b41583"",""language"":""C#"",""optimization"":""release"",""runtime-version"":""6.0.9+163a63591cf9e9b682063cf3995948c2b885a042"",""language-version"":""10.0"",""define"":""TRACE,RELEASE,NETSTANDARD,NETSTANDARD2_1,NETSTANDARD1_0_OR_GREATER,NETSTANDARD1_1_OR_GREATER,NETSTANDARD1_2_OR_GREATER,NETSTANDARD1_3_OR_GREATER,NETSTANDARD1_4_OR_GREATER,NETSTANDARD1_5_OR_GREATER,NETSTANDARD1_6_OR_GREATER,NETSTANDARD2_0_OR_GREATER,NETSTANDARD2_1_OR_GREATER"",""version"":""2"",""source-file-count"":""3"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu""}","Portable"
"RabbitMQ.Client","ValidExternal","Valid","[{""Repo"":{""Type"":""GitHub"",""Owner"":""rabbitmq"",""Repo"":""rabbitmq-dotnet-client"",""Ref"":""ec8e55228ac781c816ef4bd666af1bbde72d8242""},""FileCount"":108,""Example"":""https://raw.githubusercontent.com/rabbitmq/rabbitmq-dotnet-client/ec8e55228ac781c816ef4bd666af1bbde72d8242/projects/RabbitMQ.Client/client/events/AsyncEventHandler.cs""}]","rabbitmq.client","2022-06-15T17:56:26.303Z","147208059","rabbitmq.client","[""joefitzgerald"",""lukebakken"",""team-rabbitmq""]","rabbitmq.client","rabbitmq.client/6.4.0","RabbitMQ.Client","6.4.0","2022-06-15T17:58:47.109434Z","Available","Valid","false","rabbitmq.client","rabbitmq.client/6.4.0","RabbitMQ.Client","6.4.0","2022-06-15T17:58:47.109434Z","2022-06-15T17:56:26.303Z","Available","lib\net461\RabbitMQ.Client.dll",".dll","true","true","true","{""compiler-version"":""4.1.0-5.22116.13+dbffaa4a4e4507b8e8dcf0cae6e3209d32113391"",""language"":""C#"",""optimization"":""release"",""runtime-version"":""6.0.3+c24d9a9c91c5d04b7b4de71f1a9f33ac35e09663"",""language-version"":""7.3"",""define"":""TRACE,RELEASE,NETFRAMEWORK,NET461,NET20_OR_GREATER,NET30_OR_GREATER,NET35_OR_GREATER,NET40_OR_GREATER,NET45_OR_GREATER,NET451_OR_GREATER,NET452_OR_GREATER,NET46_OR_GREATER,NET461_OR_GREATER"",""version"":""2"",""source-file-count"":""154"",""output-kind"":""DynamicallyLinkedLibrary"",""platform"":""AnyCpu"",""unsafe"":""True""}","Portable"
"AWSSDK.S3","NoSourceLink","Missing","[]","awssdk.s3","2023-03-17T20:52:57.687Z","145999086","awssdk.s3","[""awsdotnet""]","awssdk.s3","awssdk.s3/3.7.103.31","AWSSDK.S3","3.7.103.31","2023-03-17T20:56:04.0828433Z","Available","NonDeterministic","false","awssdk.s3","awssdk.s3/3.7.103.31","AWSSDK.S3","3.7.103.31","2023-03-17T20:56:04.0828433Z","2023-03-17T20:52:57.687Z","Available","lib\net45\AWSSDK.S3.dll",".dll","false","false","true","{}","Portable"
